feature,coefficient
wildfire_risk_score,5.03076703468694
spread_efficiency,-4.720502491200373
time_to_impact_est,-4.570818885374136
dist_min_ci_0_5h,-4.45284139798057
dt_first_last_0_5h_log1p,-2.567946081165553
dist_accel_m_per_h2_is_zero,-2.5566075087519176
dist_fit_r2_0_5h_is_zero,-2.1893667330598863
dist_std_ci_0_5h_is_zero,-2.1893667330598863
spread_bearing_deg_log1p,-1.9973218509427555
spread_bearing_cos,1.7843421423050227
alignment_cos,1.6161062443977354
num_perimeters_0_5h,1.613619480480965
dist_slope_ci_0_5h_is_zero,1.5836746670174988
area_first_ha,-1.571494050143958
dist_fit_r2_0_5h,1.5241622177740817
dist_std_ci_0_5h_log1p,1.393067527220827
closing_speed_abs_m_per_h_log1p,1.3089903917808694
log1p_growth_is_zero,-1.2536051443997003
alignment_abs,1.1527516764992913
alignment_abs_is_zero,-1.0923745410549455
dt_first_last_0_5h_is_zero,-1.0923745410549455
low_temporal_resolution_0_5h,-1.0923745410549455
alignment_cos_is_zero,-1.0923745410549455
alignment_abs_log1p,-1.0881177999804705
log_area_ratio_0_5h,-1.0721850063113878
area_growth_rel_0_5h,-1.0681944349947778
centroid_displacement_m_log1p,1.0256598743851688
log1p_growth,-0.8253040941335864
log1p_growth_log1p,0.559848987897225
cross_track_component_is_zero,0.5387338411791887
log_area_ratio_0_5h_is_zero,0.5387338411791887
relative_growth_0_5h_is_zero,0.5387338411791887
spread_bearing_sin_is_zero,0.5387338411791887
centroid_displacement_m_is_zero,0.5387338411791887
radial_growth_rate_m_per_h_is_zero,0.5387338411791887
area_growth_abs_0_5h_is_zero,0.5387338411791887
along_track_speed_is_zero,0.5387338411791887
radial_growth_m_is_zero,0.5387338411791887
area_growth_rel_0_5h_is_zero,0.5387338411791887
centroid_speed_m_per_h_is_zero,0.5387338411791887
area_growth_rate_ha_per_h_is_zero,0.5387338411791887
spread_bearing_deg_is_zero,0.5387338411791887
dist_min_ci_0_5h_squared,-0.507086623568235
dist_change_ci_0_5h_is_zero,-0.4637877423184553
projected_advance_m_is_zero,-0.4637877423184553
closing_speed_abs_m_per_h_is_zero,-0.46378774231845526
closing_speed_m_per_h_is_zero,-0.46378774231845526
log1p_area_first,0.4257929552762095
dist_alignment_interaction,-0.4210358268801951
centroid_speed_m_per_h_log1p,-0.2419441192656629
event_start_hour,-0.13356597653483226
area_dist_ratio,0.1285043468123965
cross_track_component,-0.07403327899031663
area_first_ha_squared,0.04222603461344802
along_track_speed,0.027009566494073236
spread_bearing_sin,-0.02445749552809179
threat_velocity,0.024454468241925424
spread_bearing_deg,0.02353713475834671
closing_speed_m_per_h_squared,-0.0014526063380556477
growth_speed_interaction,0.0010260636722583475
dist_growth_interaction,-0.00010468727488152064
fire_intensity,2.338669710905656e-05
