feature,coefficient
wildfire_risk_score,5.030767034686944
spread_efficiency,-4.72050249120038
time_to_impact_est,-4.5708188853741225
dist_min_ci_0_5h,-4.452841397980579
dt_first_last_0_5h_log1p,-2.5679460811655614
dist_accel_m_per_h2_is_zero,-2.5566075087519264
dist_std_ci_0_5h_is_zero,-2.1893667330598623
dist_fit_r2_0_5h_is_zero,-2.1893667330598623
spread_bearing_deg_log1p,-1.9973218509427355
spread_bearing_cos,1.7843421423050476
alignment_cos,1.6161062443977448
num_perimeters_0_5h,1.613619480480971
dist_slope_ci_0_5h_is_zero,1.583674667017509
area_first_ha,-1.571494050143958
dist_fit_r2_0_5h,1.5241622177741143
dist_std_ci_0_5h_log1p,1.3930675272208857
closing_speed_abs_m_per_h_log1p,1.3089903917808257
log1p_growth_is_zero,-1.2536051443997147
alignment_abs,1.1527516764992791
alignment_abs_is_zero,-1.0923745410549477
dt_first_last_0_5h_is_zero,-1.0923745410549477
alignment_cos_is_zero,-1.0923745410549477
low_temporal_resolution_0_5h,-1.0923745410549477
alignment_abs_log1p,-1.0881177999804548
log_area_ratio_0_5h,-1.0721850063113858
area_growth_rel_0_5h,-1.0681944349948926
centroid_displacement_m_log1p,1.0256598743851795
log1p_growth,-0.825304094133599
log1p_growth_log1p,0.5598489878972155
area_growth_rate_ha_per_h_is_zero,0.538733841179196
centroid_speed_m_per_h_is_zero,0.538733841179196
radial_growth_rate_m_per_h_is_zero,0.5387338411791959
area_growth_rel_0_5h_is_zero,0.5387338411791959
centroid_displacement_m_is_zero,0.5387338411791959
along_track_speed_is_zero,0.5387338411791959
relative_growth_0_5h_is_zero,0.5387338411791959
radial_growth_m_is_zero,0.5387338411791959
area_growth_abs_0_5h_is_zero,0.5387338411791959
spread_bearing_sin_is_zero,0.5387338411791959
cross_track_component_is_zero,0.5387338411791959
log_area_ratio_0_5h_is_zero,0.5387338411791959
spread_bearing_deg_is_zero,0.5387338411791959
dist_min_ci_0_5h_squared,-0.5070866235682348
projected_advance_m_is_zero,-0.46378774231844716
closing_speed_m_per_h_is_zero,-0.46378774231844716
dist_change_ci_0_5h_is_zero,-0.4637877423184471
closing_speed_abs_m_per_h_is_zero,-0.4637877423184471
log1p_area_first,0.4257929552762084
dist_alignment_interaction,-0.4210358268801953
centroid_speed_m_per_h_log1p,-0.24194411926567191
event_start_hour,-0.13356597653483002
area_dist_ratio,0.12850434681239653
cross_track_component,-0.07403327899031682
area_first_ha_squared,0.04222603461344799
along_track_speed,0.02700956649407372
spread_bearing_sin,-0.024457495528049947
threat_velocity,0.024454468241925757
spread_bearing_deg,0.02353713475834683
closing_speed_m_per_h_squared,-0.0014526063380556813
growth_speed_interaction,0.0010260636722583668
dist_growth_interaction,-0.00010468727488151758
fire_intensity,2.338669710905092e-05
